8297 103689
6 1692 10
6 1701 6
6 1716 2
6 1718 8
6 1752 10
6 1758 2
6 1768 10
6 1774 3
6 1783 10
6 1787 9
6 1788 3
6 1798 6
6 1861 8
6 1864 4
6 1982 8
6 2409 8
6 2651 5
6 2843 10
6 2909 10
6 3755 5
6 3892 7
6 4037 5
6 4134 7
6 4792 3
6 4942 7
6 5323 10
6 5697 7
6 6227 7
6 6330 8
6 6624 10
6 6765 5
6 6790 3
6 6965 2
6 7161 1
6 7632 4
6 8282 2
6 8290 5
7 6 8
7 28 8
7 30 4
7 32 10
7 35 2
7 38 5
7 54 4
7 55 6
7 61 5
7 75 10
7 93 6
7 105 3
7 228 7
7 259 3
7 271 7
7 299 9
7 524 4
7 1190 2
7 1193 10
7 1425 8
7 1471 9
7 1919 8
7 8283 7
7 8287 5
8 6 10
8 10 8
8 19 2
8 23 5
8 28 3
8 30 2
8 33 2
8 34 7
8 36 3
8 39 9
8 49 5
8 50 10
8 54 5
8 55 4
8 56 4
8 61 1
8 75 2
8 80 10
8 86 4
8 89 1
8 127 6
8 130 8
8 132 9
8 135 6
8 140 8
8 144 7
8 150 6
8 151 5
8 152 9
8 153 1
8 154 8
8 163 2
8 167 9
8 168 5
8 175 2
8 178 2
8 182 10
8 183 3
8 192 3
8 214 2
8 216 5
8 219 2
8 224 6
8 226 1
8 232 10
8 236 5
8 243 8
8 250 5
8 252 8
8 255 3
8 258 3
8 261 7
8 271 2
8 273 2
8 274 7
8 280 10
8 282 10
8 286 3
8 299 3
8 300 2
8 301 7
8 308 6
8 310 5
8 319 8
8 322 6
8 339 3
8 341 10
8 348 5
8 349 3
8 356 10
8 358 6
8 362 6
8 363 5
8 370 4
8 371 7
8 373 6
8 377 9
8 378 6
8 379 6
8 389 10
8 390 3
8 391 8
8 392 7
8 394 6
8 396 7
8 402 6
8 405 1
8 406 8
8 415 2
8 421 2
8 422 6
8 427 7
8 428 9
8 431 7
8 432 2
8 433 7
8 435 9
8 439 10
8 440 9
8 488 4
8 506 10
8 514 7
8 524 5
8 538 7
8 549 8
8 560 2
8 564 6
8 566 1
8 567 5
8 581 8
8 584 6
8 586 8
8 587 8
8 589 4
8 590 10
8 592 7
8 600 8
8 604 4
8 606 5
8 607 2
8 609 1
8 611 7
8 613 3
8 616 5
8 617 1
8 622 7
8 624 10
8 627 3
8 628 3
8 631 4
8 636 2
8 637 3
8 645 5
8 650 2
8 656 10
8 657 9
8 658 3
8 659 7
8 664 8
8 665 8
8 667 2
8 668 1
8 673 7
8 674 2
8 675 8
8 677 1
8 681 2
8 687 1
8 706 9
8 715 6
8 719 1
8 723 3
8 725 2
8 739 10
8 741 8
8 749 3
8 756 10
8 760 5
8 761 8
8 778 1
8 779 6
8 798 10
8 802 1
8 806 7
8 810 2
8 817 5
8 822 8
8 844 2
8 857 8
8 864 1
8 866 1
8 868 3
8 875 4
8 878 2
8 881 1
8 882 9
8 885 4
8 936 1
8 938 5
8 977 2
8 1092 2
8 8284 8
9 8 9
9 10 2
9 23 10
9 28 2
9 30 2
9 33 1
9 34 8
9 54 8
9 55 2
9 56 10
9 61 9
9 75 6
9 80 10
9 86 10
9 94 2
9 130 2
9 135 10
9 144 1
9 151 4
9 168 2
9 214 2
9 226 8
9 228 5
9 243 10
9 250 3
9 258 3
9 261 9
9 271 4
9 274 5
9 299 4
9 325 1
9 339 6
9 348 2
9 356 7
9 363 3
9 370 4
9 377 3
9 378 5
9 379 4
9 390 1
9 391 6
9 392 6
9 394 10
9 402 3
9 421 4
9 422 4
9 427 8
9 431 1
9 439 3
9 440 1
9 506 10
9 517 9
9 559 6
9 560 8
9 579 6
9 592 9
9 611 4
9 626 2
9 658 2
9 664 10
9 715 4
9 733 10
9 756 10
9 857 3
9 868 9
9 893 1
9 904 7
9 918 4
9 932 4
9 972 7
9 982 5
9 1049 6
9 1103 3
9 1384 1
9 1525 7
9 1580 1
9 1618 9
9 1652 8
9 1717 9
9 1855 3
9 1966 4
10 3 2
10 6 3
10 8 4
10 19 6
10 23 3
10 28 2
10 30 6
10 33 10
10 34 7
10 38 4
10 50 10
10 54 2
10 89 4
10 93 2
10 105 10
10 130 3
10 132 5
10 135 4
10 147 10
10 153 5
10 154 10
10 163 2
10 168 2
10 175 2
10 183 6
10 214 5
10 216 2
10 219 2
10 246 8
10 250 4
10 252 10
10 255 6
10 257 4
10 261 6
10 271 10
10 274 9
10 280 5
10 286 3
10 300 5
10 301 9
10 306 7
10 310 1
10 319 9
10 405 1
10 406 3
10 407 9
10 432 6
10 549 2
10 587 3
10 600 5
10 609 6
10 617 10
10 619 1
10 622 4
10 627 7
10 628 3
10 631 8
10 636 8
10 656 2
10 657 7
10 658 1
10 659 8
10 664 3
10 665 6
10 667 10
10 668 8
10 673 7
10 675 5
10 681 9
10 700 5
10 706 1
10 715 8
10 719 4
10 725 8
10 739 3
10 741 8
10 743 4
10 746 3
10 748 10
10 750 8
10 756 1
10 760 5
10 761 5
10 765 1
10 778 5
10 779 5
11 6 2
11 8 3
11 10 9
11 15 1
11 19 1
11 23 5
11 28 9
11 29 5
11 30 7
11 33 9
11 34 1
11 35 1
11 36 10
11 38 5
11 49 9
11 50 5
11 54 5
11 55 1
11 56 7
11 61 3
11 72 3
11 75 4
11 86 8
11 89 10
11 93 6
11 95 4
11 105 10
11 127 4
11 130 10
11 132 8
11 147 10
11 151 1
11 153 9
11 154 6
11 163 5
11 168 1
11 171 1
11 178 1
11 183 8
11 192 4
11 204 9
11 214 6
11 216 8
11 219 9
11 224 6
11 227 2
11 228 10
11 230 5
11 246 8
11 250 6
11 252 3
11 255 1
11 257 10
11 259 8
11 261 5
11 271 7
11 274 9
11 282 8
11 285 10
11 286 7
11 298 10
11 299 8
11 306 1
11 308 8
11 310 4
11 313 3
11 317 8
11 319 6
11 322 9
11 325 5
11 332 2
11 334 2
11 338 1
11 350 6
11 372 10
11 406 3
11 407 2
11 415 4
11 429 6
11 431 5
11 432 10
11 439 7
11 440 7
11 465 6
11 488 1
11 506 2
11 514 2
11 545 10
11 549 3
11 559 5
11 560 7
11 575 1
11 579 2
11 587 4
11 600 1
11 607 4
11 608 5
11 609 5
11 611 6
11 613 3
11 617 2
11 622 8
11 624 9
11 627 1
11 628 10
11 631 10
11 636 2
11 637 5
11 643 1
11 644 3
11 647 7
11 658 1
11 659 4
11 664 2
11 667 8
11 668 3
11 673 8
11 674 1
11 675 6
11 677 4
11 681 3
11 684 4
11 687 4
11 694 10
11 700 4
11 705 9
11 706 6
11 707 5
11 710 2
11 715 1
11 717 7
11 719 5
11 722 6
11 723 8
11 725 10
11 730 1
11 733 7
11 739 2
11 741 10
11 743 9
11 744 9
11 746 4
11 748 8
11 749 8
11 750 2
11 756 3
11 760 2
11 761 5
11 762 2
11 763 3
11 764 5
11 765 10
11 771 4
11 779 7
11 791 9
11 793 2
11 798 7
11 802 2
11 803 7
11 805 6
11 806 9
11 810 7
11 817 7
11 822 5
11 825 6
11 826 9
11 829 4
11 836 5
11 837 8
11 838 2
11 839 6
11 844 7
11 849 8
11 853 8
11 857 1
11 859 9
11 863 4
11 864 6
11 866 3
11 868 8
11 871 4
11 873 5
11 878 1
11 881 5
11 882 1
11 885 7
11 887 10
11 893 4
11 895 6
11 904 2
11 907 3
11 908 1
11 913 7
11 918 2
11 922 10
11 929 9
11 932 4
11 934 1
11 935 7
11 936 1
11 937 2
11 941 5
11 942 2
11 943 10
11 945 10
11 946 8
11 947 4
11 955 2
11 956 10
11 958 2
11 959 4
11 960 9
11 963 3
11 968 8
11 971 9
11 975 7
11 978 3
11 982 1
11 985 1
11 989 9
11 993 7
11 994 3
11 999 5
11 1000 7
11 1006 3
11 1012 6
11 1018 6
11 1022 6
11 1031 6
11 1032 3
11 1034 8
11 1035 5
11 1049 2
11 1055 2
11 1061 4
11 1062 10
11 1075 4
11 1080 9
11 1092 8
11 1097 7
11 1103 6
11 1111 2
11 1124 8
11 1127 6
11 1128 8
11 1137 4
11 1144 6
11 1151 2
11 1154 10
11 1156 8
11 1160 3
11 1164 7
11 1165 1
11 1167 5
11 1168 6
11 1185 3
11 1186 6
11 1190 5
11 1191 3
11 1193 2
11 1196 4
11 1199 10
11 1200 7
11 1201 9
11 1203 8
11 1211 7
11 1218 3
11 1220 4
11 1221 8
11 1222 2
11 1230 10
11 1239 8
11 1241 7
11 1243 9
11 1248 9
11 1250 4
11 1253 10
11 1259 1
11 1260 1
11 1261 1
11 1279 3
11 1282 3
11 1284 5
11 1285 9
11 1286 8
11 1296 5
11 1297 8
11 1305 6
11 1307 3
11 1310 10
11 1319 1
11 1321 3
11 1322 4
11 1326 8
11 1330 4
11 1353 2
11 1360 8
11 1372 9
11 1374 7
11 1375 1
11 1377 10
11 1378 1
11 1382 1
11 1384 6
11 1385 7
11 1389 5
11 1390 7
11 1394 6
11 1396 10
11 1402 8
11 1407 9
11 1411 7
11 1412 2
11 1413 8
11 1418 9
11 1420 5
11 1425 3
11 1428 9
11 1435 1
11 1437 7
11 1439 2
11 1441 5
11 1442 6
11 1444 6
11 1446 10
11 1453 6
11 1464 2
11 1465 5
11 1468 8
11 1471 3
11 1476 1
11 1482 7
11 1484 2
11 1485 7
11 1486 3
11 1487 8
11 1489 3
11 1490 10
11 1492 7
11 1496 3
11 1497 10
11 1501 6
11 1506 3
11 1507 6
11 1513 8
11 1514 9
11 1518 7
11 1520 4
11 1521 1
11 1524 1
11 1525 3
11 1531 5
11 1532 4
11 1533 3
11 1534 7
11 1538 4
11 1542 3
11 1547 10
11 1549 7
11 1550 9
11 1555 6
11 1556 8
11 1557 10
11 1565 8
11 1566 1
11 1583 5
11 1585 5
11 1592 9
11 1608 7
11 1610 2
11 1613 7
11 1619 10
11 1621 2
11 1622 3
11 1628 3
11 1629 7
11 1633 10
11 1637 1
11 1638 10
11 1641 2
11 1646 6
11 1648 6
11 1649 10
11 1652 1
11 1653 1
11 1654 4
11 1657 3
11 1658 7
11 1661 10
11 1662 7
11 1669 5
11 1672 3
11 1679 4
11 1680 9
11 1687 8
11 1688 9
11 1689 10
11 1692 10
11 1697 6
11 1700 7
11 1701 9
11 1706 1
11 1707 7
11 1714 7
11 1716 3
11 1717 7
11 1718 4
11 1726 2
11 1729 10
11 1730 4
11 1732 1
11 1746 5
11 1747 1
11 1749 7
11 1752 10
11 1757 9
11 1758 6
11 1768 6
11 1769 9
11 1771 1
11 1772 10
11 1774 10
11 1780 8
11 1783 3
11 1787 8
11 1788 8
11 1791 3
11 1798 7
11 1802 6
11 1805 10
11 1811 5
11 1816 8
11 1835 3
11 1836 6
11 1842 7
11 1847 4
11 1848 3
11 1849 6
11 1855 10
11 1857 5
11 1858 1
11 1859 9
11 1861 8
11 1864 6
11 1880 10
11 1884 4
11 1888 8
11 1893 1
11 1901 4
11 1903 4
11 1908 8
11 1919 6
11 1920 6
11 1927 5
11 1953 9
11 1956 8
11 1963 9
11 1964 10
11 1965 9
11 1966 7
11 1969 1
11 1973 5
11 1977 1
11 1979 10
11 1983 4
11 1985 10
11 1987 2
11 1990 9
11 1991 4
11 1992 9
11 1997 9
11 2004 8
11 2007 10
11 2014 7
11 2055 6
11 2060 4
11 2062 10
11 2066 4
11 2071 3
11 2073 5
11 2076 4
11 2079 10
11 2085 1
11 2091 8
11 2095 6
11 2097 1
11 2101 10
11 2109 1
11 2114 6
11 2117 5
11 2119 1
11 2128 10
11 2134 10
11 2137 4
11 2144 9
11 2145 6
11 2151 10
11 2157 10
11 2168 10
11 2178 1
11 2181 2
11 2182 9
11 2193 3
11 2202 2
11 2205 10
11 2206 5
11 2210 2
11 2237 8
11 2240 3
11 2241 10
11 2246 5
11 2252 3
11 2253 6
11 2257 8
11 2273 6
11 2289 9
11 2294 9
11 2328 3
11 2329 2
11 2332 4
11 2333 8
11 2339 1
11 2341 4
11 2345 2
11 2350 6
11 2362 10
11 2364 10
11 2381 2
11 2384 9
11 2385 3
11 2397 7
11 2400 8
11 2409 1
11 2410 9
11 2411 4
11 2426 6
11 2435 5
11 2456 10
11 2470 4
11 2475 3
11 2479 8
11 2484 4
11 2485 7
11 2490 6
11 2499 7
11 2504 1
11 2506 7
11 2508 7
11 2517 8
11 2535 1
11 2544 4
11 2565 10
11 2570 4
11 2575 9
11 2579 4
11 2580 9
11 2585 1
11 2587 3
11 2593 5
11 2595 9
11 2604 9
11 2612 6
11 2619 5
11 2625 6
11 2643 9
11 2646 4
11 2653 4
11 2655 3
11 2657 3
11 2665 6
11 2669 9
11 2685 7
11 2686 5
11 2696 6
11 2720 4
11 2727 1
11 2746 6
11 2754 6
11 2760 2
11 2763 5
11 2775 6
11 2777 5
11 2787 9
11 2794 6
11 2811 2
11 2843 6
11 2859 7
11 2871 2
11 2900 3
11 2923 9
11 2932 8
11 2958 6
11 2981 6
11 3002 6
11 3005 7
11 3007 6
11 3010 6
11 3014 1
11 3024 8
11 3026 6
11 3028 7
11 3034 9
11 3059 1
11 3073 10
11 3084 1
11 3092 1
11 3114 1
11 3117 9
11 3125 1
11 3136 5
11 3140 3
11 3144 2
11 3180 10
11 3192 6
11 3258 3
11 3260 3
11 3284 2
11 3291 1
11 3309 5
11 3321 1
11 3334 1
11 3352 5
11 3394 3
11 3404 10
11 3433 6
11 3439 5
11 3443 1
11 3447 6
11 3452 4
11 3453 1
11 3454 3
11 3458 10
11 3463 4
11 3464 7
11 3480 7
11 3529 4
11 3537 5
11 3557 1
11 3562 2
11 3568 9
11 3607 9
11 3615 8
11 3631 6
11 3635 4
11 3645 5
11 3650 6
11 3660 5
11 3661 9
11 3680 4
11 3748 4
11 3755 5
11 3787 1
11 3800 6
11 3806 5
11 3807 2
11 3812 2
11 3830 6
11 3843 6
11 3847 5
11 3871 5
11 3892 2
11 3903 3
11 3926 7
11 3937 9
11 3956 8
11 3958 6
11 3967 8
11 3970 3
11 4011 6
11 4013 3
11 4021 5
11 4024 7
11 4040 6
11 4043 7
11 4044 6
11 4055 9
11 4058 8
11 4065 6
11 4072 7
11 4088 8
11 4103 3
11 4124 5
11 4162 2
11 4179 7
11 4201 3
11 4212 8
11 4231 9
11 4247 1
11 4256 7
11 4261 3
11 4263 7
11 4266 8
11 4269 6
11 4289 5
11 4290 5
11 4297 6
11 4299 6
11 4335 5
11 4384 1
11 4417 9
11 4422 4
11 4424 9
11 4463 5
11 4485 10
11 4510 1
11 4528 5
11 4531 2
11 4547 4
11 4578 10
11 4613 9
11 4661 8
11 4662 4
11 4706 6
11 4709 4
11 4719 9
11 4796 5
11 4808 10
11 4811 8
11 4814 10
11 4820 2
11 4827 8
11 4938 8
11 4962 5
11 5026 5
11 5037 10
11 5055 4
11 5073 9
11 5092 10
11 5100 10
11 5106 7
11 5130 8
11 5132 3
11 5144 8
11 5802 6
11 6170 2
11 6496 2
11 6715 4
11 6739 7
11 8286 7
11 8287 8
11 8290 4
11 8291 7
11 8293 4
12 8 2
12 28 6
12 30 4
12 56 6
12 72 5
12 80 6
12 214 10
12 219 6
12 232 8
12 236 9
12 250 8
12 255 5
12 257 8
12 259 10
12 274 7
12 282 8
12 286 10
12 290 10
12 299 5
12 349 4
12 356 2
12 362 10
12 390 3
12 407 9
12 427 5
12 428 9
12 432 4
12 435 5
12 538 1
12 564 6
12 609 5
12 631 4
12 644 5
12 663 8
12 668 8
12 675 6
12 677 7
12 697 7
12 706 3
12 725 6
12 748 7
12 756 10
12 765 10
12 793 9
12 805 9
12 810 5
12 822 3
12 838 10
12 857 6
12 937 8
12 1014 2
12 1160 8
12 1241 9
12 1297 6
12 1464 9
12 1573 5
12 1629 3
12 1638 6
12 2252 7
12 2708 1
12 3371 3
12 3843 1
12 4233 6
12 8287 9
12 8291 9
13 28 2
13 30 7
13 178 10
13 214 7
13 216 4
13 232 9
13 250 5
13 252 10
13 271 6
13 302 5
13 341 9
14 3 3
14 10 9
14 23 6
14 28 5
14 30 10
14 32 8
14 49 7
14 54 8
14 55 4
14 56 1
14 61 5
14 75 9
14 95 4
14 127 1
14 130 3
14 140 2
14 150 1
14 152 3
14 178 6
14 182 2
14 183 6
14 192 7
14 214 5
14 216 2
14 219 9
14 224 7
14 226 8
14 236 3
14 250 3
14 259 3
14 261 5
14 271 5
14 282 10
14 299 6
14 324 1
14 325 4
14 338 2
14 356 8
14 363 4
14 368 5
14 371 7
14 377 6
14 378 1
14 390 6
14 391 2
14 394 4
14 396 2
14 402 3
14 421 7
14 422 2
14 427 3
14 440 8
14 477 5
14 517 2
14 524 4
14 538 9
14 560 10
14 564 8
14 566 6
14 567 6
14 581 10
14 584 2
14 589 8
14 609 4
14 611 6
14 613 2
14 616 7
14 617 6
14 619 10
14 626 9
14 631 3
14 650 4
14 656 7
14 665 7
14 797 7
14 968 2
14 1031 9
14 1053 2
14 1080 4
14 1123 6
14 1164 2
14 1259 10
14 1307 10
14 1385 7
14 1496 4
14 1717 8
14 1835 10
14 1842 1
14 1855 1
14 1864 2
14 1927 6
14 1966 10
14 2016 4
14 2066 9
14 2117 7
14 2134 10
14 2193 10
14 2339 1
14 2384 5
14 2470 6
14 2475 4
14 2479 3
14 2565 1
14 2587 9
14 2595 10
14 2643 6
14 2653 4
14 3192 6
14 3562 7
14 4055 1
14 4179 3
14 4247 6
14 8285 9
14 8287 1
15 8 2
15 23 2
15 28 7
15 30 1
15 32 7
15 33 4
15 38 2
15 49 4
15 54 5
15 55 7
15 56 4
15 61 6
15 95 6
15 105 1
15 152 3
15 214 7
15 299 4
15 368 1
15 417 8
15 477 9
15 560 7
15 589 4
15 600 3
15 667 4
15 737 9
15 756 3
15 762 8
15 893 3
15 974 9
15 1006 4
15 1297 1
15 1717 4
15 2066 2
15 2144 3
15 2229 8
15 2398 7
15 2643 7
15 2651 2
15 3005 8
15 3334 8
15 3755 4
15 4037 5
15 4561 3
15 4600 9
15 4645 7
15 4658 8
15 7632 8
15 7871 8
15 8287 1
15 8292 3
16 28 5
16 30 10
16 637 9
16 749 8
16 789 5
16 817 10
16 857 9
16 887 1
16 982 3
16 993 5
16 1186 1
16 1374 4
16 1412 3
16 1580 10
16 1672 8
17 3 1
17 8 4
17 10 6
17 28 10
17 30 8
17 32 6
17 33 5
17 35 1
17 50 10
17 54 3
17 55 9
17 95 9
17 108 9
17 127 4
17 135 4
17 183 4
17 214 9
17 258 8
17 261 1
17 271 2
17 273 2
17 282 3
17 299 10
17 339 5
17 356 4
17 359 9
17 377 9
17 378 4
17 391 3
17 524 9
17 590 8
17 592 7
17 624 10
17 656 6
17 658 9
17 667 3
17 675 5
17 739 10
17 750 8
17 756 4
17 941 9
17 982 10
17 1190 9
17 1218 4
17 1513 9
18 30 7
18 36 1
18 55 2
18 144 2
18 192 1
18 214 2
18 308 7
18 429 4
18 477 2
18 549 1
18 643 9
18 2570 2
19 3 3
19 6 3
19 23 5
19 28 3
19 30 4
19 33 10
19 38 5
19 50 10
19 54 6
19 55 6
19 61 8
19 89 1
19 127 1
19 130 9
19 132 3
19 151 10
19 154 6
19 163 4
19 168 1
19 182 4
19 183 9
19 214 8
19 216 8
19 219 5
19 250 8
19 252 4
19 257 9
19 261 6
19 271 7
19 274 4
19 286 3
19 299 1
19 371 1
19 564 3
19 581 2
19 584 8
19 589 1
19 590 7
19 592 4
20 3 1
20 6 1
20 19 6
20 30 5
20 33 7
20 34 8
20 36 4
20 50 5
20 54 5
20 55 8
20 56 7
20 61 3
20 75 7
20 80 9
20 89 10
20 105 9
20 132 7
20 135 5
20 140 3
20 151 4
20 153 1
20 167 8
20 168 9
20 182 6
20 183 7
20 214 7
20 216 4
20 224 9
20 232 5
20 243 9
20 250 3
20 252 7
20 255 4
20 257 1
20 258 2
20 261 9
20 271 8
20 274 10
20 282 8
20 286 7
20 299 2
20 306 2
20 308 9
20 310 4
20 321 3
20 322 7
20 325 2
20 339 9
20 348 7
20 350 9
20 363 10
20 368 4
20 370 4
20 371 8
20 377 6
20 378 10
20 379 3
20 391 8
20 402 8
20 405 6
20 425 2
20 427 10
20 429 2
20 447 10
20 465 3
20 477 2
20 564 2
20 567 7
20 590 7
20 592 8
20 600 5
20 606 10
20 609 10
20 611 6
20 624 2
20 626 6
20 631 1
20 636 3
20 650 4
20 656 2
20 657 3
20 658 4
20 667 10
20 673 6
20 675 3
20 677 7
20 681 4
20 697 2
20 700 10
20 704 2
20 706 5
20 707 2
20 722 4
20 723 10
20 746 6
20 749 7
20 756 1
20 765 10
20 803 7
20 829 4
20 838 8
20 853 1
20 861 6
20 864 1
20 896 9
20 918 3
20 941 9
20 943 10
20 979 10
20 981 7
20 982 2
20 993 9
20 994 1
20 1034 7
20 1044 3
20 1055 2
20 1062 7
20 1075 6
20 1156 6
20 1164 1
20 1167 4
20 1190 5
20 1211 2
20 1218 3
20 1307 2
20 1321 4
20 1352 6
20 1374 9
20 1389 6
20 1396 6
20 1402 7
20 1501 3
20 1513 4
20 1569 8
20 1585 10
20 1597 2
20 1604 10
20 1680 4
20 1692 10
20 1730 6
20 1758 9
20 1774 1
20 1783 10
20 1787 5
20 1855 8
20 1859 3
20 1919 1
20 1965 7
20 1966 5
20 2134 8
20 2165 3
20 2281 6
20 2285 9
20 2324 1
20 2339 9
20 2348 10
20 2411 4
20 2484 6
20 2517 8
20 2565 2
20 2693 7
20 2774 8
20 2775 1
20 2777 9
20 2828 3
20 2877 2
20 2900 2
20 3027 8
20 3136 3
20 3371 8
20 3456 2
20 3516 7
20 3614 10
20 3755 4
20 4179 6
20 4373 10
20 5327 4
20 5714 1
20 5775 8
20 5780 4
20 5814 9
20 5818 4
20 6229 8
20 6262 3
20 6780 5
20 7726 10
20 8288 9
21 28 8
21 30 9
21 35 9
21 54 10
21 61 2
21 75 1
21 86 9
21 89 4
21 105 5
21 135 6
21 140 6
21 144 4
21 150 3
21 168 2
21 183 2
21 219 6
21 236 5
21 243 3
21 250 6
21 252 10
21 271 5
21 299 8
21 308 4
21 334 5
21 356 9
21 370 7
21 422 10
21 429 8
21 433 8
21 439 8
21 447 10
21 465 5
21 488 2
21 549 7
21 590 5
21 592 3
21 611 7
21 613 6
21 637 7
21 656 4
21 657 5
21 664 6
21 667 10
21 723 8
21 725 4
21 760 6
21 765 1
21 789 9
21 794 3
21 802 6
21 837 9
21 853 7
21 868 8
21 871 2
21 887 9
21 893 6
21 908 4
21 932 3
21 960 6
21 963 10
21 1014 7
21 1049 4
21 1190 1
21 1297 1
21 1476 5
21 1707 2
